"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FRA","France","T-GOODS-RD-REW","Road freight transport for hire and reward","2000","2000","TONNEKM","Tonnes-kilometres","6","Millions",,,155133,,
"FRA","France","T-GOODS-RD-REW","Road freight transport for hire and reward","2001","2001","TONNEKM","Tonnes-kilometres","6","Millions",,,158088,,
"FRA","France","T-GOODS-RD-REW","Road freight transport for hire and reward","2002","2002","TONNEKM","Tonnes-kilometres","6","Millions",,,156121,,
"FRA","France","T-GOODS-RD-REW","Road freight transport for hire and reward","2003","2003","TONNEKM","Tonnes-kilometres","6","Millions",,,156678,,
"FRA","France","T-GOODS-RD-REW","Road freight transport for hire and reward","2004","2004","TONNEKM","Tonnes-kilometres","6","Millions",,,166383,,
"FRA","France","T-GOODS-RD-REW","Road freight transport for hire and reward","2005","2005","TONNEKM","Tonnes-kilometres","6","Millions",,,162257,"B","Break"
"FRA","France","T-GOODS-RD-REW","Road freight transport for hire and reward","2006","2006","TONNEKM","Tonnes-kilometres","6","Millions",,,166166,,
"FRA","France","T-GOODS-RD-REW","Road freight transport for hire and reward","2007","2007","TONNEKM","Tonnes-kilometres","6","Millions",,,176405,,
"FRA","France","T-GOODS-RD-REW","Road freight transport for hire and reward","2008","2008","TONNEKM","Tonnes-kilometres","6","Millions",,,165564,,
"FRA","France","T-GOODS-RD-REW","Road freight transport for hire and reward","2009","2009","TONNEKM","Tonnes-kilometres","6","Millions",,,138202,,
"FRA","France","T-GOODS-RD-REW","Road freight transport for hire and reward","2010","2010","TONNEKM","Tonnes-kilometres","6","Millions",,,143965,,
"FRA","France","T-GOODS-RD-REW","Road freight transport for hire and reward","2011","2011","TONNEKM","Tonnes-kilometres","6","Millions",,,145293,,
"FRA","France","T-GOODS-RD-REW","Road freight transport for hire and reward","2012","2012","TONNEKM","Tonnes-kilometres","6","Millions",,,135970,,
"FRA","France","T-GOODS-RD-REW","Road freight transport for hire and reward","2013","2013","TONNEKM","Tonnes-kilometres","6","Millions",,,133135,,
"FRA","France","T-GOODS-RD-REW","Road freight transport for hire and reward","2014","2014","TONNEKM","Tonnes-kilometres","6","Millions",,,136309,"B","Break"
"FRA","France","T-GOODS-RD-REW","Road freight transport for hire and reward","2015","2015","TONNEKM","Tonnes-kilometres","6","Millions",,,129174,,
"FRA","France","T-GOODS-RD-REW","Road freight transport for hire and reward","2016","2016","TONNEKM","Tonnes-kilometres","6","Millions",,,129931,,
"FRA","France","T-GOODS-RD-REW","Road freight transport for hire and reward","2017","2017","TONNEKM","Tonnes-kilometres","6","Millions",,,140216,,
"FRA","France","T-GOODS-RD-REW","Road freight transport for hire and reward","2018","2018","TONNEKM","Tonnes-kilometres","6","Millions",,,141895,,
"FRA","France","T-GOODS-RD-REW","Road freight transport for hire and reward","2019","2019","TONNEKM","Tonnes-kilometres","6","Millions",,,146553,,
"FRA","France","T-GOODS-RD-REW","Road freight transport for hire and reward","2020","2020","TONNEKM","Tonnes-kilometres","6","Millions",,,141411,,
"FRA","France","T-GOODS-RD-TOT","Road freight transport","2000","2000","TONNEKM","Tonnes-kilometres","6","Millions",,,184240,,
"FRA","France","T-GOODS-RD-TOT","Road freight transport","2001","2001","TONNEKM","Tonnes-kilometres","6","Millions",,,189023,,
"FRA","France","T-GOODS-RD-TOT","Road freight transport","2002","2002","TONNEKM","Tonnes-kilometres","6","Millions",,,188596,,
"FRA","France","T-GOODS-RD-TOT","Road freight transport","2003","2003","TONNEKM","Tonnes-kilometres","6","Millions",,,189226,,
"FRA","France","T-GOODS-RD-TOT","Road freight transport","2004","2004","TONNEKM","Tonnes-kilometres","6","Millions",,,197412,,
"FRA","France","T-GOODS-RD-TOT","Road freight transport","2005","2005","TONNEKM","Tonnes-kilometres","6","Millions",,,193153,"B","Break"
"FRA","France","T-GOODS-RD-TOT","Road freight transport","2006","2006","TONNEKM","Tonnes-kilometres","6","Millions",,,198829,,
"FRA","France","T-GOODS-RD-TOT","Road freight transport","2007","2007","TONNEKM","Tonnes-kilometres","6","Millions",,,207025,,
"FRA","France","T-GOODS-RD-TOT","Road freight transport","2008","2008","TONNEKM","Tonnes-kilometres","6","Millions",,,195515,,
"FRA","France","T-GOODS-RD-TOT","Road freight transport","2009","2009","TONNEKM","Tonnes-kilometres","6","Millions",,,166052,,
"FRA","France","T-GOODS-RD-TOT","Road freight transport","2010","2010","TONNEKM","Tonnes-kilometres","6","Millions",,,174409,,
"FRA","France","T-GOODS-RD-TOT","Road freight transport","2011","2011","TONNEKM","Tonnes-kilometres","6","Millions",,,177993,,
"FRA","France","T-GOODS-RD-TOT","Road freight transport","2012","2012","TONNEKM","Tonnes-kilometres","6","Millions",,,165808,,
"FRA","France","T-GOODS-RD-TOT","Road freight transport","2013","2013","TONNEKM","Tonnes-kilometres","6","Millions",,,165315,,
"FRA","France","T-GOODS-RD-TOT","Road freight transport","2014","2014","TONNEKM","Tonnes-kilometres","6","Millions",,,158501,"B","Break"
"FRA","France","T-GOODS-RD-TOT","Road freight transport","2015","2015","TONNEKM","Tonnes-kilometres","6","Millions",,,150398,,
"FRA","France","T-GOODS-RD-TOT","Road freight transport","2016","2016","TONNEKM","Tonnes-kilometres","6","Millions",,,152040,,
"FRA","France","T-GOODS-RD-TOT","Road freight transport","2017","2017","TONNEKM","Tonnes-kilometres","6","Millions",,,161774,,
"FRA","France","T-GOODS-RD-TOT","Road freight transport","2018","2018","TONNEKM","Tonnes-kilometres","6","Millions",,,163826,,
"FRA","France","T-GOODS-RD-TOT","Road freight transport","2019","2019","TONNEKM","Tonnes-kilometres","6","Millions",,,167918,,
"FRA","France","T-GOODS-RD-TOT","Road freight transport","2020","2020","TONNEKM","Tonnes-kilometres","6","Millions",,,162171,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2000","2000","TONNEKM","Tonnes-kilometres","6","Millions",,,29107,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2001","2001","TONNEKM","Tonnes-kilometres","6","Millions",,,30935,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2002","2002","TONNEKM","Tonnes-kilometres","6","Millions",,,32475,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2003","2003","TONNEKM","Tonnes-kilometres","6","Millions",,,32548,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2004","2004","TONNEKM","Tonnes-kilometres","6","Millions",,,31029,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2005","2005","TONNEKM","Tonnes-kilometres","6","Millions",,,30896,"B","Break"
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2006","2006","TONNEKM","Tonnes-kilometres","6","Millions",,,32663,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2007","2007","TONNEKM","Tonnes-kilometres","6","Millions",,,30620,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2008","2008","TONNEKM","Tonnes-kilometres","6","Millions",,,29951,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2009","2009","TONNEKM","Tonnes-kilometres","6","Millions",,,27850,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2010","2010","TONNEKM","Tonnes-kilometres","6","Millions",,,30444,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2011","2011","TONNEKM","Tonnes-kilometres","6","Millions",,,32700,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2012","2012","TONNEKM","Tonnes-kilometres","6","Millions",,,29838,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2013","2013","TONNEKM","Tonnes-kilometres","6","Millions",,,32180,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2014","2014","TONNEKM","Tonnes-kilometres","6","Millions",,,22192,"B","Break"
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2015","2015","TONNEKM","Tonnes-kilometres","6","Millions",,,21224,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2016","2016","TONNEKM","Tonnes-kilometres","6","Millions",,,22109,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2017","2017","TONNEKM","Tonnes-kilometres","6","Millions",,,21558,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2018","2018","TONNEKM","Tonnes-kilometres","6","Millions",,,21931,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2019","2019","TONNEKM","Tonnes-kilometres","6","Millions",,,21365,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2020","2020","TONNEKM","Tonnes-kilometres","6","Millions",,,20760,,
